timestamp_iso,scenario,mode,fps,face_active,body_active,hands_active
2026-04-26T11:16:44,body_moving,body,29.98,0,1,0
2026-04-26T11:16:45,body_moving,body,29.80,0,1,0
2026-04-26T11:16:48,hand_near_face,body,24.88,0,1,0
2026-04-26T11:16:49,hand_near_face,body,29.82,0,1,0
2026-04-26T11:16:50,hand_near_face,body,30.05,0,1,0
2026-04-26T11:16:51,hand_near_face,body,30.12,0,1,0
2026-04-26T11:16:52,hand_near_face,body,29.92,0,1,0
2026-04-26T11:16:53,hand_near_face,body,29.83,0,1,0
2026-04-26T11:16:54,hand_near_face,body,30.10,0,1,0
2026-04-26T11:16:55,hand_near_face,body,29.85,0,1,0
2026-04-26T11:16:56,hand_near_face,body,30.00,0,1,0
2026-04-26T11:16:57,hand_near_face,body,30.00,0,1,0
2026-04-26T11:16:58,hand_near_face,body,29.98,0,1,0
2026-04-26T11:16:59,hand_near_face,body,29.94,0,1,0
2026-04-26T11:17:00,hand_near_face,body,30.08,0,1,0
2026-04-26T11:17:01,hand_near_face,body,29.86,0,1,0
2026-04-26T11:17:02,hand_near_face,body,30.00,0,1,0
2026-04-26T11:17:03,hand_near_face,body,29.98,0,1,0
2026-04-26T11:17:04,hand_near_face,body,29.98,0,1,0
2026-04-26T11:17:05,hand_near_face,body,30.00,0,1,0
2026-04-26T11:17:06,hand_near_face,body,29.96,0,1,0
2026-04-26T11:17:07,hand_near_face,body,29.96,0,1,0
2026-04-26T11:17:08,hand_near_face,body,30.00,0,1,0
2026-04-26T11:17:09,hand_near_face,body,29.99,0,1,0
2026-04-26T11:17:10,hand_near_face,body,29.96,0,1,0
2026-04-26T11:17:11,hand_near_face,body,29.97,0,1,0
2026-04-26T11:17:12,hand_near_face,body,29.99,0,1,0
2026-04-26T11:17:13,hand_near_face,body,29.97,0,1,0
2026-04-26T11:17:14,hand_near_face,body,29.95,0,1,0
2026-04-26T11:17:15,hand_near_face,body,29.99,0,1,0
2026-04-26T11:17:16,hand_near_face,body,29.96,0,1,0
2026-04-26T11:17:19,hand_on_face,body,23.26,0,1,0
2026-04-26T11:17:20,hand_on_face,body,29.59,0,1,0
2026-04-26T11:17:21,hand_on_face,body,29.99,0,1,0
2026-04-26T11:17:22,hand_on_face,body,29.94,0,1,0
2026-04-26T11:17:23,hand_on_face,body,29.97,0,1,0
